"date","datetime","station","precip_in","newsnow_in","newSWE_in","multiday","precip_mm","newsnow_mm","newSWE_mm"
2024-11-04,2024-11-04 07:00:00,"WI-DA-99",0.73,NA,NA,NA,18.542,NA,NA
2024-11-04,2024-11-04 08:55:00,"WI-DA-60",0.79,NA,NA,NA,20.066,NA,NA
2024-11-04,2024-11-04 08:00:00,"WI-DA-63",0.72,NA,NA,NA,18.288,NA,NA
2024-11-04,2024-11-04 07:00:00,"WI-DA-46",0.76,NA,NA,NA,19.304,NA,NA
2024-11-03,2024-11-03 07:00:00,"WI-DA-99",0.01,NA,NA,NA,0.254,NA,NA
2024-11-03,2024-11-03 08:00:00,"WI-DA-63",0.02,NA,NA,NA,0.508,NA,NA
2024-11-03,2024-11-03 07:00:00,"WI-DA-46",0.01,NA,NA,NA,0.254,NA,NA
2024-11-02,2024-11-02 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-11-02,2024-11-02 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-11-02,2024-11-02 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-11-01,2024-11-01 07:00:00,"WI-DA-99",0,NA,NA,NA,0,NA,NA
2024-11-01,2024-11-01 08:00:00,"WI-DA-63",0.01,NA,NA,NA,0.254,NA,NA
2024-11-01,2024-11-01 07:00:00,"WI-DA-46",0,NA,NA,NA,0,NA,NA
2024-10-31,2024-10-31 07:00:00,"WI-DA-99",1.62,NA,NA,NA,41.148,NA,NA
2024-10-31,2024-10-31 08:00:00,"WI-DA-60",2.73,NA,NA,NA,69.342,NA,NA
2024-10-31,2024-10-31 08:00:00,"WI-DA-63",2.64,NA,NA,NA,67.056,NA,NA
2024-10-31,2024-10-31 07:00:00,"WI-DA-46",2.97,NA,NA,NA,75.438,NA,NA
2024-10-30,2024-10-30 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-30,2024-10-30 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-30,2024-10-30 10:00:00,"WI-DA-60",0,0,NA,NA,0,0,NA
2024-10-30,2024-10-30 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-29,2024-10-29 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
