year,doy,pond,site,sampletype,doc_mgl,tn_ugl,tp_ugl,no23_ugl,srp_ugl,nh4_ugl,chloride_mgl,x440,stormnum,timetostorm,prepost
2023,184,Strickers,0,C,14.3,5006.93,702.731,9.97,16.051,12.475,207.8865,0.009586856,5,-1,pre
2023,186,Strickers,0,C,14.8,9470.381,610.058,21.353,20.96,11.265,NA,0.010169044,5,1,post
2023,191,Strickers,0,C,11.8,5065.716,379.971,9.539,10.351,8.647,132.3164,0.007939513,6,-2,pre
2023,194,Strickers,0,C,9.88,6548.435,483.5,-0.424,6.963,1.279,97.0768,0.00700823,6,1,post
2023,208,Strickers,0,C,10.55,6670.399,621.3915,3.893,5.655,16.528,87.4958,0.009209239,7,-1,pre
2023,210,Strickers,9,S,8.939,3829.231,389.6175,5.549,7.216,22.029,NA,0.009573801,7,1,post
2024,145,Strickers,9,S,6.859,1894.274,189.527,4.214,10.194,6.722,39.9266,0.009585276,14,0,pre
2024,148,Strickers,9,V,6.712,1489.03,169.451,5.9495,14.8005,3.7435,26.3348,NA,14,3,post
2024,176,Strickers,9,S,6.218,2529.64,255.882,5.955,10.895,3.02,17.436,0.009333263,18,0,pre
2024,178,Strickers,0,C,7.126,2013.36,235.643,5.052,12.983,3.207,16.7952,0.007834512,18,2,post
2024,183,Strickers,9,S,15.48,2433.813,209.74,3.248,7.232,1.799,14.2873,0.011743359,20,-1,pre
2024,185,Strickers,9,S,7.422,1831.504,183.573,4.374,8.368,2.7555,9.9079,0.013554284,20,1,post
2024,218,Strickers,9,S,6.46,2765.287,379.787,27.875,13.682,1.415,8.8779,0.020647937,24,-1,pre
2024,219,Strickers,9,S,6.596,2962.057,375.167,3.586,9.821,3.116,7.2801,0.009416273,24,0,post
2024,264,Strickers,9,V,13.33,5497.539,498.535,9.65,8.423,8.321,10.5282,NA,27,-1,pre
2024,267,Strickers,0,S,7.495,2093.781,188.522,NA,NA,NA,6.3009,0.011953707,27,2,post
2023,208,Tiedemans,0,C,12.91,8144.138,414.449,2.729,3.591,8.231,99.3705,0.013757093,29,-1,pre
2023,210,Tiedemans,0,S,10.47,2209.425,378.7325,4.764,2.992,13.075,NA,0.010396902,29,1,post
2024,127,Tiedemans,0,V,7.441,1038.845,97.977,2.803,14.646,2.681,75.3552,NA,33,-1,pre
2024,130,Tiedemans,0,S,5.827,1320.795,137.375,2.53,13.775,5.374,58.8807,0.007895507,33,2,post
2024,140,Tiedemans,0,V,9.271,2019.106,217.929,2.527,12.516,2.138,65.4077,NA,34,-2,pre
2024,145,Tiedemans,0,C,8.527,2733.225,248.822,3.7,141.919,3.219,44.8769,0.007306276,34,3,post
2024,178,Tiedemans,0,C,8.776,NA,509.7865,7.864,59.502,1.974,22.24685,0.012723756,37,-2,pre
2024,182,Tiedemans,0,V,12.365,5306.318,622.2465,4.853,7.747,1.248,19.0563,NA,37,2,post
2024,183,Tiedemans,0,S,8.362,3855.57,435.268,5.051,10.452,3.253,19.4607,0.015028541,38,0,pre
2024,185,Tiedemans,0,S,15.78,2658.869,287.538,4.923,9.534,5.653,13.8126,0.01303703,38,2,post
