date,pond,raindoy,year,precip_mm,risestarttime,riseendtime,norise,multiday,multipeak,exclude
2022-05-25,Strickers,145,2022,1.524,NA,NA,X,NA,NA,NA
2022-05-26,Strickers,146,2022,44.45,2022-05-25 10:30,2022-05-26 20:15,NA,X,X,NA
2022-05-28,Strickers,148,2022,0.254,NA,NA,X,NA,NA,NA
2022-06-04,Strickers,155,2022,0.127,NA,NA,X,NA,NA,NA
2022-06-05,Strickers,156,2022,22.987,2022-06-05 05:30,2022-06-06 04:15,NA,X,X,NA
2022-06-07,Strickers,158,2022,0.508,NA,NA,X,NA,NA,NA
2022-06-08,Strickers,159,2022,0.508,NA,NA,X,NA,NA,NA
2022-06-09,Strickers,160,2022,22.098,2022-06-08 08:00,2022-06-08 13:00,NA,NA,NA,NA
2022-06-11,Strickers,162,2022,0.762,NA,NA,X,NA,NA,NA
2022-06-12,Strickers,163,2022,1.397,NA,NA,X,NA,NA,NA
2022-06-14,Strickers,165,2022,8.001,2022-06-13 13:00,2022-06-13 17:00,NA,NA,NA,NA
2022-06-16,Strickers,167,2022,40.132,2022-06-15 18:45,2022-06-15 22:00,NA,NA,NA,NA
2022-06-25,Strickers,176,2022,2.159,NA,NA,X,NA,NA,NA
2022-06-26,Strickers,177,2022,7.112,2022-06-25 09:45,2022-06-25 10:45,NA,NA,NA,NA
2022-06-29,Strickers,180,2022,0.889,NA,NA,X,NA,NA,NA
2022-07-03,Strickers,184,2022,0.508,NA,NA,X,NA,NA,NA
2022-07-05,Strickers,186,2022,9.779,NA,NA,NA,NA,NA,X
2022-07-06,Strickers,187,2022,30.734,2022-07-05 19:15,2022-07-06 02:00,NA,NA,NA,NA
2022-07-08,Strickers,189,2022,0.508,NA,NA,X,NA,NA,NA
2022-07-09,Strickers,190,2022,1.524,NA,NA,X,NA,NA,NA
2022-07-12,Strickers,193,2022,0.254,NA,NA,X,NA,NA,NA
2022-07-15,Strickers,196,2022,2.286,NA,NA,X,NA,NA,NA
2022-07-16,Strickers,197,2022,25.146,2022-07-15 09:00,2022-07-15 13:30,NA,NA,NA,NA
2022-07-24,Strickers,205,2022,23.368,2022-07-23 15:00,2022-07-24 04:00,NA,NA,NA,NA
2022-07-27,Strickers,208,2022,3.81,NA,NA,X,NA,NA,NA
2022-07-28,Strickers,209,2022,1.524,NA,NA,X,NA,NA,NA
2022-08-01,Strickers,213,2022,1.524,NA,NA,X,NA,NA,NA
2022-08-04,Strickers,216,2022,7.366,2022-08-03 12:00,2022-08-03 14:00,NA,NA,NA,NA
2022-08-07,Strickers,219,2022,63.119,2022-08-06 16:15,2022-08-08 06:00,NA,X,X,NA
2022-08-09,Strickers,221,2022,0.254,NA,NA,X,NA,NA,NA
2022-08-13,Strickers,225,2022,1.016,NA,NA,X,NA,NA,NA
2022-08-14,Strickers,226,2022,2.032,NA,NA,X,NA,NA,NA
2022-08-15,Strickers,227,2022,0.508,NA,NA,X,NA,NA,NA
2022-08-19,Strickers,231,2022,0.889,NA,NA,X,NA,NA,NA
2022-08-20,Strickers,232,2022,9.779,2022-08-20 02:00,2022-08-20 16:00,NA,X,X,NA
2022-08-25,Strickers,237,2022,45.466,2022-08-25 00:45,2022-08-25 03:00,NA,NA,NA,NA
2022-08-26,Strickers,238,2022,0.508,NA,NA,X,NA,NA,NA
2022-08-28,Strickers,240,2022,18.288,2022-08-27 13:30,2022-08-28 16:30,NA,X,X,NA
2022-09-04,Strickers,247,2022,10.16,2022-09-03 09:15,2022-09-03 12:00,NA,NA,NA,NA
2022-09-11,Strickers,254,2022,76.454,2022-09-10 18:00,2022-09-12 07:30,NA,X,NA,NA
2022-09-13,Strickers,256,2022,2.286,NA,NA,X,NA,NA,NA
2022-10-12,Strickers,285,2022,2.159,NA,NA,X,NA,NA,NA
2022-10-13,Strickers,286,2022,6.477,2022-10-12 10:00,2022-10-12 12:00,NA,NA,NA,NA
2022-10-14,Strickers,287,2022,1.778,NA,NA,X,NA,NA,NA
2022-10-15,Strickers,288,2022,0.508,NA,NA,X,NA,NA,NA
2022-10-24,Strickers,297,2022,4.318,NA,NA,X,NA,NA,NA
2022-10-25,Strickers,298,2022,3.048,NA,NA,X,NA,NA,NA
2022-10-26,Strickers,299,2022,7.366,2022-10-25 13:00,2022-10-25 21:45,NA,NA,NA,NA
2022-11-05,Strickers,309,2022,54.61,2022-11-04 14:00,2022-11-06 08:00,NA,X,NA,NA
2023-06-25,Strickers,176,2023,12.192,2023-06-24 22:30,2023-06-25 17:00,NA,X,X,NA
2023-06-27,Strickers,178,2023,0.127,NA,NA,X,NA,NA,NA
2023-07-02,Strickers,183,2023,3.048,NA,NA,X,NA,NA,NA
2023-07-05,Strickers,186,2023,42.672,2023-07-04 09:30,2023-07-05 19:00,NA,X,X,NA
2023-07-11,Strickers,192,2023,0.762,NA,NA,X,NA,NA,NA
2023-07-13,Strickers,194,2023,68.707,2023-07-12 12:00,2023-07-14 21:00,NA,X,X,NA
2023-07-16,Strickers,197,2023,1.016,NA,NA,X,NA,NA,NA
