Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,9:04,9:57,11:13,12:43,14:06,15:08,15:19,14:32,13:13,11:44,10:18,9:15
2,9:05,9:59,11:16,12:46,14:08,15:10,15:18,14:30,13:10,11:41,10:15,9:13
3,9:06,10:02,11:19,12:49,14:11,15:11,15:18,14:28,13:07,11:39,10:13,9:12
4,9:07,10:04,11:21,12:51,14:13,15:12,15:17,14:25,13:04,11:36,10:10,9:11
5,9:08,10:07,11:24,12:54,14:16,15:13,15:16,14:23,13:01,11:33,10:07,9:09
6,9:09,10:09,11:27,12:57,14:18,15:14,15:15,14:21,12:58,11:30,10:05,9:08
7,9:10,10:12,11:30,13:00,14:21,15:15,15:14,14:18,12:56,11:27,10:03,9:07
8,9:11,10:14,11:33,13:03,14:23,15:16,15:13,14:16,12:53,11:24,10:00,9:06
9,9:13,10:17,11:36,13:06,14:25,15:17,15:12,14:14,12:50,11:21,9:58,9:05
10,9:14,10:20,11:39,13:09,14:28,15:18,15:11,14:11,12:47,11:18,9:55,9:04
11,9:15,10:22,11:42,13:12,14:30,15:18,15:09,14:09,12:44,11:15,9:53,9:04
12,9:17,10:25,11:44,13:14,14:32,15:19,15:08,14:06,12:41,11:13,9:51,9:03
13,9:18,10:28,11:47,13:17,14:34,15:20,15:07,14:04,12:38,11:10,9:48,9:02
14,9:20,10:30,11:50,13:20,14:37,15:20,15:05,14:01,12:35,11:07,9:46,9:02
15,9:22,10:33,11:53,13:23,14:39,15:21,15:04,13:59,12:33,11:04,9:44,9:01
16,9:23,10:36,11:56,13:26,14:41,15:21,15:02,13:56,12:30,11:01,9:42,9:01
17,9:25,10:39,11:58,13:29,14:43,15:21,15:01,13:53,12:27,10:58,9:40,9:00
18,9:27,10:41,12:01,13:31,14:45,15:22,14:59,13:51,12:24,10:56,9:38,9:00
19,9:29,10:44,12:04,13:34,14:47,15:22,14:58,13:48,12:21,10:53,9:35,9:00
20,9:31,10:47,12:07,13:37,14:49,15:22,14:56,13:45,12:17,10:50,9:33,9:00
21,9:33,10:50,12:10,13:40,14:51,15:22,14:54,13:43,12:13,10:47,9:32,9:00
22,9:35,10:53,12:13,13:42,14:53,15:22,14:52,13:40,12:10,10:44,9:30,9:00
23,9:37,10:55,12:16,13:45,14:54,15:22,14:50,13:37,12:08,10:42,9:28,9:00
24,9:39,10:58,12:19,13:48,14:56,15:22,14:49,13:35,12:05,10:39,9:26,9:00
25,9:41,11:01,12:22,13:50,14:58,15:22,14:47,13:32,12:02,10:36,9:24,9:00
26,9:43,11:04,12:25,13:53,15:00,15:21,14:45,13:29,11:59,10:34,9:22,9:00
27,9:45,11:07,12:28,13:56,15:01,15:21,14:43,13:27,11:56,10:31,9:21,9:01
28,9:48,11:10,12:31,13:58,15:03,15:21,14:41,13:24,11:53,10:28,9:19,9:01
29,9:50,,12:34,14:01,15:04,15:20,14:39,13:21,11:50,10:26,9:18,9:02
30,9:52,,12:37,14:03,15:06,15:20,14:36,13:18,11:47,10:23,9:16,9:02
31,9:55,,12:40,,15:07,,14:34,13:15,,10:20,,9:03
