"pond","year","doy","chl_rfu","chl_ugl","pc_rfu","pc_ugl","do_sat","do_mgl","pH","temp_C"
"Strickers",2022,116,19.59,79.4002176628049,29.11,29.3833942345877,101.45,10.995,9.67,11.68355
"Strickers",2022,117,15.762,64.2015201690001,30.463,30.7562525459624,116.635,13.086,9.847,10.1958
"Strickers",2022,118,17.1,69.5139175688723,30.0655,30.3529183414011,118.805,13.671,9.9285,9.13425
"Strickers",2022,119,15.702,63.9632960703511,30.7105,31.0073851638968,118.14,13.7335,9.911,8.7126
"Strickers",2022,120,15.7815,64.278943001061,28.4525,28.7162439465397,116.14,12.8945,9.881,10.6466
"Strickers",2022,121,15.502,63.1692157415212,27.412,27.660472273971,103.73,11.161,9.595,12.01565
"Strickers",2022,122,17.8995,72.6882536833699,30.8065,31.104794179338,100.745,11.179,9.5055,10.67385
"Strickers",2022,123,15.413,62.8158499951919,31.782,32.0946118310351,121.64,13.4585,9.7195,10.8018
"Strickers",2022,124,13.922,56.8959811437648,33.062,33.3933987035847,122.84,13.853,9.775,9.9909
"Strickers",2022,125,11.3135,46.5391884550005,30.3095,30.6004995889809,153.61,16.242,9.999,12.7916
"Strickers",2022,126,13.5205,55.3018648836387,29.665,29.9465401051072,139.085,14.3145,9.7905,14.0034
"Strickers",2022,127,16.5015,67.1376321848488,32.3375,32.6582650401767,143.725,14.5955,9.855,14.6134
"Strickers",2022,128,18.581,75.3940824038579,32.4535,32.7759676005015,145.165,14.319,9.887,15.9806
"Strickers",2022,129,23.1215,93.4216910691193,34.6165,34.9707144796616,108.57,11.252,9.454,13.6838
"Strickers",2022,130,27.3935,110.383246892927,38.1425,38.5484664426383,101.185,9.316,9.44,19.32455
"Strickers",2022,131,19.4665,78.9098730597524,36.826,37.212643850676,66.79,5.831,8.231,22.01985
"Strickers",2022,132,16.9295,68.8369640885448,17.4135,17.5152218480431,32.145,2.655,7.324,24.9523
"Strickers",2022,133,21.4505,86.7871499217453,3.8975,3.80084421571408,14.26,1.141,6.9875,26.37525
"Strickers",2022,134,42.752,171.362660544599,7.6605,7.61907468556123,116.695,9.326,8.5235,26.7398
"Strickers",2022,135,57.7955,231.091397678364,10.201,10.196862224399,230.22,18.5795,9.702,26.22705
"Strickers",2022,136,73.572,293.73043921729,13.704,13.7512766107595,245.135,21.001,10.1385,22.97215
"Strickers",2022,137,70.7695,282.603388609561,14.906,14.9709186582632,217.955,19.074,10.3155,21.8511
"Strickers",2022,138,91.7885,366.057260767942,16.2795,16.3645778531436,195.33,17.698,10.2945,20.1004
"Strickers",2022,139,80.513,321.288997029333,14.924,14.9891828486584,200.385,18.8425,10.3875,18.26785
"Strickers",2022,140,78.526,313.399808962407,13.471,13.5148568128657,190.905,17.4065,10.3445,19.7936
"Strickers",2022,141,63.2735,252.841257885015,11.801,11.8203458150861,156.755,14.6595,10.124,18.5302
"Strickers",2022,142,61.275,244.906410199182,10.4335,10.4327746836708,187.335,17.7135,10.362,17.9841
"Strickers",2022,143,40.168,161.103142696116,7.248,7.20052032233722,182.73,17.31,10.416,17.881
"Strickers",2022,144,28.9895,116.720007916989,5.1845,5.10673382897299,164.89,15.6115,10.2275,17.92075
"Strickers",2022,145,22.2955,90.1421393110517,3.941,3.84498267583588,136.2,13.3465,10.0175,16.25755
"Strickers",2022,146,18.773,76.1563995195346,3.7015,3.60196747585491,110.345,10.9615,9.6435,15.6453
"Strickers",2022,147,16.585,67.4691607221352,3.2285,3.12202513935805,114.77,10.891,9.4995,17.8397
"Strickers",2022,148,23.171,93.6182259505047,4.3945,4.30513880607125,147.405,13.876,9.7095,18.2203
"Strickers",2022,149,36.291,145.709895521748,6.7815,6.72717338792752,159.555,14.66,9.837,19.4046
