"stormnum","stormdoy","year","pond","rise_chl_slope","rise_pc_slope","rise_points","post2_chl_slope","post3_chl_slope","post10_chl_slope","post2_pc_slope","post3_pc_slope","post10_pc_slope","delay_chl_slope","delay_pc_slope","delay_points","pre_chl_ugl","pre_pc_ugl","endrise_chl_ugl","endrise_pc_ugl","rise_chl_percch","rise_pc_percch","post10_chl_percch","post10_pc_percch","raindoy","precip_mm","risestarttime","riseendtime","startdepth","bounce_m","risetime_hr","nextstormstart","endstorm_doy","cumprecip","dayssinceprevstorm","rain_10daysprev","pre_tempdiff","post_tempdiff","delta_tempdiff","daylight_hr","avgwatertemp_C","delta_doc","delta_tn","delta_tp","delta_no23","delta_srp","delta_nh4","delta_cl","delta_g440","post_doc_mgl","post_tn_ugl","post_tp_ugl","post_no23_ugl","post_srp_ugl","post_nh4_ugl","post_chloride_mgl","post_g440"
1,145,2022,"Strickers",-11.3364892944587,-0.361478768238936,3,-11.3364892944587,0.174102112095954,29.5319376655862,-0.361478768238936,0.0900526054209226,2.20417415319239,34.9317260119499,2.7191236233083,9,90.1421393110517,3.84498267583588,67.4691607221352,3.12202513935805,-25.1524744833048,-18.8026214271747,327.615229584034,573.259839906354,146,44.45,2022-05-25 10:30:00,2022-05-26 20:15:00,0.836020140349993,0.192424426505277,33.75,2022-06-05 05:30:00,156,163.957,"34",10.668,0.0960000000000001,3.045,2.949,15.0939393939394,20.6633242961418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,156,2022,"Strickers",-3.85228219523632,1.24069660032041,3,-3.85228219523632,-4.40099170245769,NA,1.24069660032041,1.32014582853963,NA,-7.460384689357,1.01670659866778,2,305.582088125077,27.3971635291064,297.877523734604,29.8785567297472,-2.52127486847957,9.05711716471895,NA,NA,156,22.987,2022-06-05 05:30:00,2022-06-06 04:15:00,0.912604378879259,0.0509857673272369,22.75,2022-06-08 08:00:00,159,215.011,"11",44.831,-0.0949999999999989,-0.0949999999999989,0,15.2416666666667,20.2331672240803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,159,2022,"Strickers",-46.1638599165272,-3.05265648911373,2,-42.1279466452503,-24.6615542523888,NA,-2.17597535014279,-1.43140518836391,NA,0.654194570902931,1.4128474663373,7,290.417139045247,30.895263328415,244.253279128719,27.8426068393012,-15.8957078319454,-9.880661823996,NA,NA,160,22.098,2022-06-08 08:00:00,2022-06-08 13:00:00,0.938678146135765,0.0801882852352052,5,2022-06-15 18:45:00,166,232.791,"3",24.13,0.0949999999999989,0.381,0.286000000000001,15.3125,21.9966354748603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,166,2022,"Strickers",-92.4051426651153,-11.5845700967963,2,-47.7619465782992,-25.0794390254355,-0.376935494271489,-7.00583903243702,-6.10308068829036,-0.778013001313165,4.38730584830546,0.0781916433923674,10,228.109626043607,33.4710215127644,135.704483378491,21.886451415968,-40.5090939246249,-34.6107455739839,-1.6524313366742,-23.2443757659581,167,40.132,2022-06-15 18:45:00,2022-06-15 22:00:00,0.930558036223081,0.241388000038409,3.25,2022-06-25 18:45:00,176,265.049,"7",50.038,-0.0999999999999979,0.196000000000002,0.295999999999999,15.3636363636364,26.1453888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,185,2023,"Strickers",101.345833333337,13.219666666667,3,101.345833333337,57.1119666666666,NA,13.219666666667,8.40479999999999,NA,-58.5092380952369,-7.70084523809507,7,274.319,37.743,477.010666666667,64.1823333333333,73.8890367297466,70.0509586766659,NA,NA,186,42.672,2023-07-04 09:30:00,2023-07-05 19:00:00,0.750127097359104,0.160126777945292,33.5,2023-07-12 12:00:00,193,154.686,"57",15.367,0.489000000000001,1.18,0.690999999999999,15.212962962963,26.3381187081258,0.5,4463.451,-92.673,11.383,4.909,-1.21,NA,0.1340778964,12.1,4188.717,612.586,NA,NA,NA,NA,2.5234767838
6,193,2023,"Strickers",-22.6337666666667,-2.19676666666667,4,-28.7918333333347,-22.6337666666667,-0.278509090909055,-2.97116666666681,-2.19676666666667,2.38735454545457,4.76194047619046,3.6892579365079,8,165.927,24.635,104.740333333333,18.822,-40.9223935827201,-26.7517759285569,-1.67850374507497,96.9090540066803,194,68.707,2023-07-12 12:00:00,2023-07-14 21:00:00,0.886331781320622,0.252971318429378,57,2023-07-28 21:40:00,209,198.12,"8",43.434,-0.387,1.747,2.134,15.0090909090909,24.744142936519,-1.92,1482.719,103.529,-9.963,-3.388,-7.368,-35.2396,-0.2144744749,9.88,6548.435,483.5,-0.424,6.963,1.279,97.0768,1.613995369
7,209,2023,"Strickers",-11.6219999999998,-6.74733333333327,2,9.89633333333359,19.1823666666667,29.3483333333334,-2.23016666666669,0.543600000000004,5.44400303030305,34.1052424242426,6.72046464646468,10,204.662333333333,53.6276666666667,193.040333333333,46.8803333333333,-5.67862186007188,-12.5818141133618,143.398801603292,101.51482189485,210,53.848,2023-07-28 21:40:00,2023-07-28 23:20:00,0.9970615847333,0.32392052127373,1.66666666666667,2023-08-14 05:50:00,226,292.227,"16",22.225,5.029,4.587,-0.442,14.4954545454545,26.1663049546406,-1.611,-2841.168,-231.774,1.656,1.561,5.501,NA,0.0839586286,8.939,3829.231,389.6175,5.549,7.216,22.029,NA,2.2048463703
8,226,2023,"Strickers",3.15133333333317,-4.67866666666644,2,98.5278333333386,112.352533333333,23.5343727272727,7.06416666666711,10.2511,2.73107575757575,15.8060909090909,2.03031515151515,10,122.172666666667,39.1766666666667,125.324,34.498,2.57940946965757,-11.9424827703559,192.632062222914,69.7117950542606,226,57.658,2023-08-14 05:50:00,2023-08-14 12:00:00,0.98502804928633,0.24246533196666,6.16666666666667,2023-09-25 00:00:00,268,370.967,"17",6.858,0,3.628,3.628,13.8,24.1047165485619,NA,NA,NA,NA,NA,NA,NA,NA,7.552,4867.142,683.3105,2.248,8.804,10.419,NA,1.562060416
9,268,2023,"Strickers",-18.5053666666671,-3.96556666666677,5,-1.59400000000008,-7.44756666666668,-6.17042424242424,1.42366666666668,-1.95083333333334,-2.1644696969697,6.70057142857129,-0.366535714285705,7,307.044,70.0766666666667,227.707,55.187,-24.1077717417271,-22.6355895923518,-20.0962215266354,-30.8871668691867,268,55.499,2023-09-25 00:00:00,2023-09-27 18:00:00,0.90881739262846,0.17854776100518,66,2023-10-05 00:00:00,278,462.28,"42",18.542,-0.0961099999999995,0.760559999999998,0.856669999999998,11.7878787878788,20.5576778805719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,92,2024,"Strickers",-8.08200000000019,-0.0915000000000042,3,-8.08200000000019,-6.1867,2.66702424242425,-0.0915000000000042,-0.0138666666666666,0.14909090909091,5.21117777777778,0.219666666666667,9,67.632,4.05166666666667,51.468,3.86866666666667,-23.8999290276798,-4.51665981077767,39.4343541877255,36.7974271717588,93,67.056,2024-04-01 14:00:00,2024-04-02 16:30:00,1.22044450617875,0.12987653383307,26.5,2024-04-16 18:30:00,107,119.888,"6",43.942,0.0994444444444404,0,-0.0994444444444404,12.9909090909091,8.17403680555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
