"date","pond","raindoy","year","precip_mm","risestarttime","riseendtime","norise","multiday","multipeak","exclude","startdepth","enddepth","bounce_m","percchange"
2022-05-26,"Strickers",146,2022,44.45,2022-05-25 10:30:00,2022-05-26 20:15:00,NA,"X","X",NA,0.836020140349993,1.02844456685527,0.192424426505277,0.230167213943817
2022-06-05,"Strickers",156,2022,22.987,2022-06-05 05:30:00,2022-06-06 04:15:00,NA,"X","X",NA,0.912604378879259,0.963590146206496,0.0509857673272369,0.0558684228426023
2022-06-09,"Strickers",160,2022,22.098,2022-06-08 08:00:00,2022-06-08 13:00:00,NA,NA,NA,NA,0.938678146135765,1.01886643137097,0.0801882852352052,0.0854268159595645
2022-06-16,"Strickers",167,2022,40.132,2022-06-15 18:45:00,2022-06-15 22:00:00,NA,NA,NA,NA,0.930558036223081,1.17194603626149,0.241388000038409,0.259401338382017
2023-07-05,"Strickers",186,2023,42.672,2023-07-04 09:30:00,2023-07-05 19:00:00,NA,"X","X",NA,0.750127097359104,0.910253875304396,0.160126777945292,0.213466195940707
2023-07-13,"Strickers",194,2023,68.707,2023-07-12 12:00:00,2023-07-14 21:00:00,NA,"X","X",NA,0.886331781320622,1.13930309975,0.252971318429378,0.285413796233792
2023-07-29,"Strickers",210,2023,53.848,2023-07-28 21:40:00,2023-07-28 23:20:00,NA,NA,NA,NA,0.9970615847333,1.32098210600703,0.32392052127373,0.324875139342947
2023-08-14,"Strickers",226,2023,57.658,2023-08-14 05:50:00,2023-08-14 12:00:00,NA,"X",NA,NA,0.98502804928633,1.22749338125299,0.24246533196666,0.246150687934552
2023-09-25,"Strickers",268,2023,55.499,2023-09-25 00:00:00,2023-09-27 18:00:00,NA,"X","X",NA,0.90881739262846,1.08736515363364,0.17854776100518,0.196461646149606
2024-04-02,"Strickers",93,2024,67.056,2024-04-01 14:00:00,2024-04-02 16:30:00,NA,"X","X",NA,1.22044450617875,1.35032104001182,0.12987653383307,0.106417402164165
2024-04-17,"Strickers",108,2024,27.813,2024-04-16 18:30:00,2024-04-17 00:00:00,NA,NA,NA,NA,1.07850567839584,1.17841862969958,0.09991295130374,0.0926401717720668
2024-05-08,"Strickers",129,2024,45.72,2024-05-07 14:05:00,2024-05-07 21:55:00,NA,NA,NA,NA,0.960453598669672,1.09362431144096,0.133170712771288,0.138653978657317
2024-05-22,"Strickers",143,2024,47.625,2024-05-21 19:30:00,2024-05-21 23:00:00,NA,NA,NA,NA,0.9629224892442,1.22939960886199,0.26647711961779,0.276737871006573
